start,end,speaker,source,lang
21.613000000000003,22.44,1,game_1-885s-2-1.mp4,sah
22.451,23.084999999999994,2,game_1-885s-2-1.mp4,sah
24.5,26.629000000000005,1,game_1-885s-2-1.mp4,sah
27.17400000000001,29.21199999999999,1,game_1-885s-2-1.mp4,sah
29.971000000000004,30.65000000000001,1,game_1-885s-2-1.mp4,sah
30.15199999999999,32.96000000000001,2,game_1-885s-2-1.mp4,sah
31.974999999999994,34.148,1,game_1-885s-2-1.mp4,sah
34.34299999999999,37.935,3,game_1-885s-2-1.mp4,sah
36.225,36.70099999999999,1,game_1-885s-2-1.mp4,sah
37.75399999999999,38.614000000000004,2,game_1-885s-2-1.mp4,sah
39.973000000000006,41.13900000000001,1,game_1-885s-2-1.mp4,sah
40.97999999999999,42.25999999999999,4,game_1-885s-2-1.mp4,sah
30.88900000000001,31.764999999999986,1,game_1-885s-1-2.mp4,sah
31.809,32.75999999999999,1,game_1-885s-1-2.mp4,sah
32.013000000000005,33.53,2,game_1-885s-1-2.mp4,sah
33.632000000000005,38.66,1,game_1-885s-1-2.mp4,sah
36.73400000000001,38.59100000000001,2,game_1-885s-1-2.mp4,sah
40.40100000000001,41.21700000000001,3,game_1-885s-1-2.mp4,sah
21.248999999999995,23.11699999999999,1,game_1-885s-0-3.mp4,sah
23.34299999999999,23.84200000000001,3,game_1-885s-0-3.mp4,sah
23.943999999999992,25.132000000000005,2,game_1-885s-0-3.mp4,sah
25.43799999999999,26.763000000000005,2,game_1-885s-0-3.mp4,sah
31.355999999999995,32.770999999999994,4,game_1-885s-0-3.mp4,sah
32.66900000000001,33.71100000000001,3,game_1-885s-0-3.mp4,sah
33.077,33.57499999999999,1,game_1-885s-0-3.mp4,sah
34.40899999999999,34.93199999999999,2,game_1-885s-0-3.mp4,sah
35.11099999999999,36.232,2,game_1-885s-0-3.mp4,sah
35.756,36.979000000000006,4,game_1-885s-0-3.mp4,sah
37.22800000000001,38.791,1,game_1-885s-0-3.mp4,sah
40.94200000000001,41.68899999999999,1,game_1-885s-0-3.mp4,sah
22.529999999999966,23.12099999999998,1,game_1-885s-0-5.mp4,sah
24.108000000000004,29.75200000000001,1,game_1-885s-0-5.mp4,sah
32.399,33.42899999999997,2,game_1-885s-0-5.mp4,sah
33.41899999999998,33.89499999999998,3,game_1-885s-0-5.mp4,sah
35.17099999999999,35.64699999999999,1,game_1-885s-0-5.mp4,sah
38.846,39.52600000000001,2,game_1-885s-0-5.mp4,sah
40.78100000000001,41.524,2,game_1-885s-0-5.mp4,sah
22.439000000000014,22.988999999999976,3,game_1-885s-1-7.mp4,sah
22.79599999999999,23.367999999999995,2,game_1-885s-1-7.mp4,sah
24.201000000000025,25.168999999999986,3,game_1-885s-1-7.mp4,sah
24.81799999999999,25.814000000000014,2,game_1-885s-1-7.mp4,sah
27.36700000000002,28.86099999999999,1,game_1-885s-1-7.mp4,sah
29.315999999999967,29.774,3,game_1-885s-1-7.mp4,sah
29.464,34.293000000000006,1,game_1-885s-1-7.mp4,sah
34.44799999999998,35.37099999999997,4,game_1-885s-1-7.mp4,sah
35.059000000000026,36.367000000000026,2,game_1-885s-1-7.mp4,sah
35.20100000000002,39.75200000000001,1,game_1-885s-1-7.mp4,sah
39.94400000000002,40.63499999999999,1,game_1-885s-1-7.mp4,sah
21.636000000000024,23.300000000000008,1,game_1-885s-0-8.mp4,sah
25.69400000000001,26.815,1,game_1-885s-0-8.mp4,sah
27.543999999999986,28.33600000000001,4,game_1-885s-0-8.mp4,sah
28.00799999999998,29.92099999999999,1,game_1-885s-0-8.mp4,sah
30.113000000000003,31.54000000000002,1,game_1-885s-0-8.mp4,sah
31.137999999999977,32.58699999999999,4,game_1-885s-0-8.mp4,sah
32.90999999999997,35.831000000000024,1,game_1-885s-0-8.mp4,sah
35.07799999999997,35.604000000000035,4,game_1-885s-0-8.mp4,sah
35.34000000000003,36.78899999999999,2,game_1-885s-0-8.mp4,sah
36.11500000000001,37.11099999999999,4,game_1-885s-0-8.mp4,sah
37.077,38.017000000000046,1,game_1-885s-0-8.mp4,sah
37.077,38.03800000000001,2,game_1-885s-0-8.mp4,sah
38.25999999999999,38.96799999999996,1,game_1-885s-0-8.mp4,sah
38.63499999999999,39.926000000000045,3,game_1-885s-0-8.mp4,sah
40.40700000000004,41.317999999999984,3,game_1-885s-0-8.mp4,sah
21.341000000000008,21.850000000000023,3,game_1-885s-1-8.mp4,sah
22.388000000000034,23.68499999999995,3,game_1-885s-1-8.mp4,sah
24.993000000000052,26.041000000000054,1,game_1-885s-1-8.mp4,sah
25.71199999999999,26.239000000000033,3,game_1-885s-1-8.mp4,sah
27.74699999999996,28.811000000000032,3,game_1-885s-1-8.mp4,sah
30.375,31.240999999999985,4,game_1-885s-1-8.mp4,sah
32.40700000000004,33.426000000000045,1,game_1-885s-1-8.mp4,sah
33.426000000000045,34.524,1,game_1-885s-1-8.mp4,sah
34.98800000000005,35.92700000000002,3,game_1-885s-1-8.mp4,sah
36.24000000000001,37.190000000000055,3,game_1-885s-1-8.mp4,sah
37.50199999999995,38.38,2,game_1-885s-1-8.mp4,sah
22.328999999999947,23.292000000000034,1,game_1-885s-1-10.mp4,sah
23.347999999999967,24.673000000000002,1,game_1-885s-1-10.mp4,sah
25.144000000000005,26.02700000000005,3,game_1-885s-1-10.mp4,sah
25.33100000000001,26.49699999999996,2,game_1-885s-1-10.mp4,sah
26.71799999999996,29.02200000000005,3,game_1-885s-1-10.mp4,sah
29.075000000000053,30.575000000000053,1,game_1-885s-1-10.mp4,sah
30.196000000000023,31.59400000000005,3,game_1-885s-1-10.mp4,sah
31.203999999999947,31.894000000000005,2,game_1-885s-1-10.mp4,sah
31.41300000000001,31.928,1,game_1-885s-1-10.mp4,sah
33.26599999999996,33.910999999999945,1,game_1-885s-1-10.mp4,sah
33.865999999999985,36.231999999999964,4,game_1-885s-1-10.mp4,sah
36.707,37.29600000000005,4,game_1-885s-1-10.mp4,sah
37.54200000000003,41.254000000000026,1,game_1-885s-1-10.mp4,sah
21.288999999999987,21.639999999999986,1,game_1-885s-2-10.mp4,sah
21.69700000000001,22.828999999999947,4,game_1-885s-2-10.mp4,sah
24.09699999999998,24.923000000000002,1,game_1-885s-2-10.mp4,sah
